Move_Id,untranslate,translated,description
0,,,guess dummy
1,,,guess dummy
2,未使用,,guess dummy
3,,,guess dummy
4,クローコンスト 敵角度補正 左張り付き,Claw Attack,[Clutching] Left
5,クローコンスト 敵角度補正 右張り付き,Claw Attack,[Clutching] Right
6,,,
7,,,
8,,,
9,,,
10,,,
11,片手剣_クロー昇竜,Claw Uppercut,(Sword & Shield)
12,,,
13,,,
14,,,
15,,,
16,,,
17,,,
18,,,
19,,,
20,操虫棍_空中ダイブクローくっつき,,guess dummy
21,操虫棍_空中ダイブクローダメージ,Midair Claw Attack,(Insect Glaive)
-1,　　大剣用枠（未使用）,,guess dummy
-1,　　双剣用枠（未使用）,,guess dummy
-1,　　太刀用枠（未使用）,,guess dummy
-1,　　ハンマー用枠（未使用）,,guess dummy
-1,　　狩猟笛用枠（未使用）,,guess dummy
-1,　　ランス用枠（未使用）,,guess dummy
-1,　　ガンランス用枠（未使用）,,guess dummy
-1,　　スラッシュ用枠（未使用）,,guess dummy
-1,　　チャージ用枠（未使用）,,guess dummy
-1,　　弓用枠（未使用）,,guess dummy
-1,　　ヘビィ用枠（未使用）,,guess dummy
-1,　　ライト用枠（未使用）,,guess dummy
