Move_Id,untranslate,translated,description
0,頭乗り攻撃Lv1,Charged Shot,[Mounting] [Head] Lv1
1,頭乗り攻撃Lv2,Charged Shot,[Mounting] [Head] Lv2
2,頭乗り攻撃Lv3,Charged Shot,[Mounting] [Head] Lv3
3,頭乗り攻撃Lv4,Charged Shot,[Mounting] [Head] Lv4
4,,,
5,背乗り攻撃Lv1,Charged Shot,[Mounting] [Body] Lv1
6,背乗り攻撃Lv2,Charged Shot,[Mounting] [Body] Lv2
7,背乗り攻撃Lv3,Charged Shot,[Mounting] [Body] Lv3
8,背乗り攻撃Lv4,Charged Shot,[Mounting] [Body] Lv4
9,,,
10,尻乗り攻撃Lv1,Charged Shot,[Mounting] [Tail] Lv1
11,尻乗り攻撃Lv2,Charged Shot,[Mounting] [Tail] Lv2
12,尻乗り攻撃Lv3,Charged Shot,[Mounting] [Tail] Lv3
13,尻乗り攻撃Lv4,Charged Shot,[Mounting] [Tail] Lv4
